objectid,filename,title,date,location,type,format
img_01,img_01.jpg,Aeropuerto de Techo 1955,1955,Bogotá,Image;StillImage,image/jpeg
img_02,img_02.jpg,Aeropuerto Techo 1930 n1,1930,Bogotá,Image;StillImage,image/jpeg
img_03,img_03.jpg,Aeropuerto Techo 1930 n2,1930,Bogotá,Image;StillImage,image/jpeg
img_04,img_04.jpg,Aeropuerto Techo 1930 n3,1930,Bogotá,Image;StillImage,image/jpeg
img_05,img_05.jpg,Aeropuerto Techo 1930 n4,1930,Bogotá,Image;StillImage,image/jpeg
img_06,img_06.jpg,Avenida Chile - IPN - Iglesia Porciúncula 1930,1930,Bogotá,Image;StillImage,image/jpeg
img_07,img_07.jpg,Avenida Jiménez,,Bogotá,Image;StillImage,image/jpeg
img_08,img_08.jpg,Barrio Santa Inés 1940,1940,Bogotá,Image;StillImage,image/jpeg
img_09,img_09.jpg,Bogotazo Sady Gonzalez,,Bogotá,Image;StillImage,image/jpeg
img_10,img_10.jpg,Bogotá 1905 Vista Río San Francisco desde Puente de los Micos o de Lata,1905,Bogotá,Image;StillImage,image/jpeg
img_11,img_11.jpg,Bogotá 1940s Escuela de militar de Cadetes posterior Tequendama,1940,Bogotá,Image;StillImage,image/jpeg
img_12,img_12.jpg,Bogotá 1959 kr 7 cl 12,1959,Bogotá,Image;StillImage,image/jpeg
img_13,img_13.jpg,Bogotá abril 1948 Bogotazo,1948,Bogotá,Image;StillImage,image/jpeg
img_14,img_14.jpg,Bogotá cl 26 kr 10 1959 Kilometro Cero,1959,Bogotá,Image;StillImage,image/jpeg
img_15,img_15.jpg,Bogotá foto Hermann Friedich,,Bogotá,Image;StillImage,image/jpeg
img_16,img_16.jpg,Bogotá Plazuela de Egipto n2,,Bogotá,Image;StillImage,image/jpeg
img_17,img_17.jpg,Bogotá Plazuela de Egipto,,Bogotá,Image;StillImage,image/jpeg
img_18,img_18.jpg,Calle 10 Carrera 4 1960 y 2017,1960,Bogotá,Image;StillImage,image/jpeg
img_19,img_19.jpg,Calle 10 CMSB n2,,Bogotá,Image;StillImage,image/jpeg
img_20,img_20.jpg,Calle 10 plazoleta CMSB,,Bogotá,Image;StillImage,image/jpeg
img_21,img_21.jpg,Calle 11 Calle San Miguel,,Bogotá,Image;StillImage,image/jpeg
img_22,img_22.jpg,Calle 11 carrera 4 después de Bogotazo,,Bogotá,Image;StillImage,image/jpeg
img_23,img_23.jpg,Calle 11 cra 8 - 1900,1900,Bogotá,Image;StillImage,image/jpeg
img_24,img_24.jpg,calle 72 kr 11 UPN,,Bogotá,Image;StillImage,image/jpeg
img_25,img_25.jpg,Calle 72 UPN 1960s 1970s,1960,Bogotá,Image;StillImage,image/jpeg
img_26,img_26.jpg,Calle Quinta de Bolívar,,Bogotá,Image;StillImage,image/jpeg
img_27,img_27.jpg,Calle Rancho de Paja - Finales s XIX (Av Jimenez kr 9),,Bogotá,Image;StillImage,image/jpeg
img_28,img_28.jpg,Camellón del Hospicio 1900,1900,Bogotá,Image;StillImage,image/jpeg
img_29,img_29.jpg,Camino a iglesia barrio Egipto 1952,1952,Bogotá,Image;StillImage,image/jpeg
img_30,img_30.jpg,Canalización del rio San Agustín 1917,1917,Bogotá,Image;StillImage,image/jpeg
img_31,img_31.jpg,Capitolio Nacional 1900,1900,Bogotá,Image;StillImage,image/jpeg
img_32,img_32.jpg,"Capitolio, parqueaderos y Observatorio Astronómico",,Bogotá,Image;StillImage,image/jpeg
img_33,img_33.jpg,Carrera 4 Calle 11,1933,Bogotá,Image;StillImage,image/jpeg
img_34,img_34.jpg,Carrera 7 calle 45,,Bogotá,Image;StillImage,image/jpeg
img_35,img_35.jpg,Carretera Bogotá Villavicencio 1,,Cundinamarca,Image;StillImage,image/jpeg
img_36,img_36.jpg,Carretera Bogotá Villavicencio 2,,Cundinamarca,Image;StillImage,image/jpeg
img_37,img_37.jpg,Casa de la Aduana Plaza Bolívar Bogotá,,Bogotá,Image;StillImage,image/jpeg
img_38,img_38.jpg,Cervecería Germania,,Bogotá,Image;StillImage,image/jpeg
img_39,img_39.jpg,Conjunto Residencial Sabana - construcción 1962,1962,Bogotá,Image;StillImage,image/jpeg
img_40,img_40.jpg,Convento e Iglesia de San Agustín después de ataque militar s XIX,,Bogotá,Image;StillImage,image/jpeg
img_41,img_41.jpg,Cra 7 calle 10,,Bogotá,Image;StillImage,image/jpeg
img_42,img_42.jpg,Cra 7 Casa de  Nariño 1970s,,Bogotá,Image;StillImage,image/jpeg
img_43,img_43.jpg,Cra 7 cll 14,,Bogotá,Image;StillImage,image/jpeg
img_44,img_44.jpg,DANE 1969,1969,Bogotá,Image;StillImage,image/jpeg
img_45,img_45.jpg,Demolición Convento Santo Domingo 1938,1938,Bogotá,Image;StillImage,image/jpeg
img_46,img_46.jpg,Demolición del Palacio de Justicia,,Bogotá,Image;StillImage,image/jpeg
img_47,img_47.jpg,Demolición edificios para Palacio de Justicia,,Bogotá,Image;StillImage,image/jpeg
img_48,img_48.jpg,Entrada Universidad de los Andes n2,,Bogotá,Image;StillImage,image/jpeg
img_49,img_49.jpg,Entrada Universidad de los Andes,,Bogotá,Image;StillImage,image/jpeg
img_50,img_50.jpg,Estatua Jiménez en Buchholz,,Bogotá,Image;StillImage,image/jpeg
img_51,img_51.jpg,Estatua Jiménez en Las Aguas,,Bogotá,Image;StillImage,image/jpeg
img_52,img_52.jpg,Fábrica de Loza - Kra 2A cl 4 - 2,,Bogotá,Image;StillImage,image/jpeg
img_53,img_53.jpg,Fábrica de Loza - Kra 2A cl 4,,Bogotá,Image;StillImage,image/jpeg
img_54,img_54.jpg,Fábrica de Loza - Kra 2A,,Bogotá,Image;StillImage,image/jpeg
img_55,img_55.jpg,Granizada en Bogotá 1954 rotonda Km 0,,Bogotá,Image;StillImage,image/jpeg
img_56,img_56.jpg,Hospital San Juan de Dios,,Bogotá,Image;StillImage,image/jpeg
img_57,img_57.jpg,Hotel Pasajeros calle 12 carrera 12,,Bogotá,Image;StillImage,image/jpeg
img_58,img_58.jpg,Iglesia 20 de Julio 1942,1942,Bogotá,Image;StillImage,image/jpeg
img_59,img_59.jpg,Iglesia Santa Inés década 1940,1940,Bogotá,Image;StillImage,image/jpeg
img_60,img_60.png,Kra 7 cl 8 Casa de Nariño,,Bogotá,Image;StillImage,image/png
img_61,img_61.jpg,Instituto Pedagógico Nacional IPN 1930s,1930,Bogotá,Image;StillImage,image/jpeg
img_62,img_62.jpg,Kra 7 cl 8 Capitolio,,Bogotá,Image;StillImage,image/jpeg
img_63,img_63.jpg,Kra 7 cl 9,,Bogotá,Image;StillImage,image/jpeg
img_64,img_64.jpg,Lago San Cristóbal 3,,Bogotá,Image;StillImage,image/jpeg
img_65,img_65.jpg,Lago San Cristóbal,,Bogotá,Image;StillImage,image/jpeg
img_66,img_66.jpg,Las Aguas - Plazoleta Espinosa 1975,1975,Bogotá,Image;StillImage,image/jpeg
img_67,img_67.jpg,Monserrate Germania 1952 Saul Orduz,1952,Bogotá,Image;StillImage,image/jpeg
img_68,img_68.jpg,Nariz del Diablo 1932,1932,Tolima,Image;StillImage,image/jpeg
img_69,img_69.png,Palacio de Justicia 1940,1940,Bogotá,Image;StillImage,image/png
img_70,img_70.jpg,Palacio Nariño en obra,,Bogotá,Image;StillImage,image/jpeg
img_71,img_71.jpg,Palacio Nariño en obra1,,Bogotá,Image;StillImage,image/jpeg
img_72,img_72.jpg,Panorama Sur de Bogotá - Parroquia Las Aguas ca 1890-1904,1890,Bogotá,Image;StillImage,image/jpeg
img_73,img_73.jpg,Parque Centenario Biblioteca Nacional,,Bogotá,Image;StillImage,image/jpeg
img_74,img_74.jpg,Parque de la Independencia 1930,1930,Bogotá,Image;StillImage,image/jpeg
img_75,img_75.jpg,Pasaje Rufino Cuervo,,Bogotá,Image;StillImage,image/jpeg
img_76,img_76.jpg,Paseo Bolívar 1948,1948,Bogotá,Image;StillImage,image/jpeg
img_77,img_77.jpg,Patrullas Cámara de Comercio de Bogotá CCB,,Bogotá,Image;StillImage,image/jpeg
img_78,img_78.jpg,Plaza de Bolívar 1850 - 1938,1850,Bogotá,Image;StillImage,image/jpeg
img_79,img_79.jpg,Plaza Santander 1960s,1960,Bogotá,Image;StillImage,image/jpeg
img_80,img_80.jpg,Río San Francisco Cra 7,,Bogotá,Image;StillImage,image/jpeg
img_81,img_81.jpg,San Victorino 1950s,1950,Bogotá,Image;StillImage,image/jpeg
img_82,img_82.jpg,Sector de San Diego en 1971,1971,Bogotá,Image;StillImage,image/jpeg
img_83,img_83.jpg,Torres del silencio 1973,1973,Bogotá,Image;StillImage,image/jpeg
img_84,img_84.jpg,Usme pueblo sf,,Usme,Image;StillImage,image/jpeg
